longitude,latitude
-87.6403,41.87931
-87.63964,41.87931
-87.63865,41.87932
-87.63849,41.87932
-87.63832,41.87932
-87.63816,41.87932
-87.63804,41.87932
-87.63764,41.87933
-87.63709,41.87933
-87.63705,41.87933
-87.63697,41.87933
-87.63676,41.87933
-87.63668,41.87933
-87.63663,41.87932
-87.63649,41.87932
-87.63602,41.87932
-87.63525,41.87934
-87.63454,41.87935
-87.63408,41.87936
-87.63381,41.87937
-87.63376,41.87937
-87.63294,41.87939
-87.63233,41.8794
-87.63145,41.87942
-87.63121,41.87943
-87.6308,41.87943
-87.63081,41.87988
-87.63081,41.88005
-87.63083,41.88069
-87.62936,41.88071
-87.62873,41.88072
-87.62837,41.88073
-87.62781,41.88075
-87.62769,41.88075
-87.62695,41.88077
-87.62616,41.88079
-87.62602,41.88079
-87.62532,41.88082
-87.62444,41.88085
-87.62425,41.88085
-87.62373,41.88085
-87.62336,41.88085
-87.62317,41.88084
-87.62297,41.88084
-87.62291,41.88083
-87.62286,41.88083
-87.62265,41.88084
-87.62257,41.88084
-87.62212,41.88086
-87.62115,41.88088
-87.62085,41.8809
-87.6207,41.88091
-87.6207,41.88102
-87.62039,41.88109
-87.6203,41.88115
-87.62022,41.88116
-87.61989,41.88138
-87.6197,41.88147
-87.61959,41.88154
-87.61948,41.88165
-87.61943,41.88173
-87.61941,41.88179
-87.61942,41.88184
-87.61938,41.88186
-87.61931,41.88192
-87.61917,41.88193
-87.61908,41.88196
-87.619,41.882
-87.61894,41.88203
-87.61887,41.88199
-87.61879,41.88195
-87.61871,41.88197
-87.61865,41.88201
-87.61861,41.88207
-87.61861,41.88215
-87.61856,41.88221
-87.61853,41.88224
-87.61845,41.88225
-87.61837,41.88225
-87.61821,41.88216
-87.61813,41.88214
-87.61807,41.88213
-87.61799,41.88216
-87.6179,41.88218
-87.61783,41.88228
-87.61775,41.88221
-87.61768,41.88207
-87.61762,41.88218
-87.61758,41.88234
-87.61745,41.88245
-87.61734,41.88258
-87.61732,41.88273
-87.61731,41.88285
-87.61726,41.88292
-87.61722,41.88297
-87.61707,41.88311
-87.61691,41.88318
-87.61684,41.88322
-87.61665,41.88331
-87.61648,41.88333
-87.61638,41.88338
-87.61599,41.88366
-87.61589,41.88372
-87.6158,41.88375
-87.61574,41.88377
-87.61532,41.88381
-87.61527,41.88382
-87.61524,41.88384
-87.61521,41.88387
-87.6152,41.88389
-87.6152,41.88391
-87.6152,41.88393
-87.61525,41.88401
-87.61525,41.88404
-87.61526,41.88406
-87.61525,41.88409
-87.61523,41.88412
-87.6152,41.88416
-87.61516,41.88418
-87.6151,41.8842
-87.61499,41.88421
-87.61493,41.88424
-87.61488,41.88427
-87.61486,41.88429
-87.61485,41.88434
-87.61485,41.88437
-87.61452,41.88437
-87.61433,41.88437
-87.61407,41.88437
-87.61379,41.88437
-87.61365,41.88438
-87.61353,41.88439
-87.61349,41.88448
-87.61345,41.88454
-87.61339,41.88468
-87.61334,41.88489
-87.61332,41.88519
-87.61334,41.88535
-87.61339,41.88566
-87.61342,41.88583
-87.61343,41.88595
-87.61344,41.88599
-87.61345,41.88609
-87.61348,41.88632
-87.61357,41.88697
-87.61358,41.887
-87.61359,41.88708
-87.61362,41.88715
-87.61369,41.88726
-87.61374,41.88728
-87.61379,41.88733
-87.61381,41.88734
-87.61386,41.88739
-87.61392,41.88745
-87.61405,41.88754
-87.61405,41.8877
-87.61405,41.88777
-87.61405,41.88781
-87.61405,41.88787
-87.61406,41.88804
-87.61405,41.88811
-87.61407,41.88841
-87.61407,41.88873
-87.61407,41.88878
-87.61401,41.88913
-87.61393,41.88956
-87.61384,41.89022
-87.61381,41.89058
-87.61381,41.89063
-87.61381,41.89068
-87.61364,41.89068
-87.61361,41.89063
-87.6136,41.89063
-87.61351,41.89064
-87.6127,41.89064
-87.61148,41.89067
-87.61147,41.89067
-87.61147,41.89068
-87.61146,41.89075
-87.61146,41.89082
-87.61137,41.89107
-87.61137,41.89112
-87.61112,41.89113
-87.61076,41.89113
-87.61035,41.89113
-87.61,41.89114
-87.60989,41.89115
-87.60645,41.89117
