latitude,longitude
41.7919,-87.60312
41.79138,-87.6031
41.79137,-87.60375
41.79137,-87.6044
41.79137,-87.60446
41.79138,-87.60479
41.79138,-87.60493
41.79138,-87.60498
41.79138,-87.60528
41.79138,-87.6055
41.79138,-87.60573
41.79138,-87.60612
41.79141,-87.60629
41.79141,-87.60673
41.79141,-87.60676
41.79147,-87.60716
41.79151,-87.6074
41.7915,-87.6075
41.79145,-87.60785
41.79143,-87.60801
41.79137,-87.60826
41.79176,-87.60857
41.79199,-87.60885
41.792,-87.60886
41.79227,-87.60923
41.79243,-87.60947
41.79261,-87.60977
41.79269,-87.60997
41.79278,-87.61027
41.79286,-87.61063
41.79291,-87.61095
41.79297,-87.6112
41.79303,-87.61141
41.79312,-87.61168
41.79309,-87.61333
41.7929,-87.61342
41.79337,-87.61464
41.79316,-87.61486
41.79313,-87.6149
41.79309,-87.61495
41.79306,-87.61505
41.79304,-87.61593
41.79302,-87.61653
41.79303,-87.61662
41.79302,-87.61675
41.79301,-87.61751
41.79299,-87.6183
41.79299,-87.61836
41.79298,-87.61917
41.79297,-87.61998
41.79296,-87.62012
41.79296,-87.62079
41.79294,-87.6216
41.79292,-87.62241
41.79292,-87.62314
41.79291,-87.62321
41.79291,-87.62328
41.79291,-87.62402
41.79289,-87.62485
41.79288,-87.62524
41.79288,-87.62536
41.79288,-87.62558
41.79287,-87.62571
41.79391,-87.62574
41.79391,-87.62626
41.7939,-87.62677
41.7939,-87.62695
41.79389,-87.62726
41.79388,-87.6278
41.79428,-87.62782
41.79426,-87.62844
41.79426,-87.62875
41.79425,-87.62933
41.79425,-87.62953
41.79425,-87.62967
41.79423,-87.63003
41.79421,-87.63047
41.79421,-87.63062
41.79421,-87.63077
41.79421,-87.63097
41.79421,-87.63119
41.79456,-87.63119
41.79455,-87.63135
41.79454,-87.63155
41.79455,-87.63167
41.79455,-87.63176
41.79454,-87.63203
41.79454,-87.63219
41.79454,-87.63236
41.7947,-87.63237
41.79469,-87.63261
